name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
CYIENT,/company/CYIENT/consolidated/,CYIENT,10.66,,,,,,,12246.84,1101.80
METROPOLIS,/company/METROPOLIS/consolidated/,METROPOLIS,27.79,,,,,,,12208.91,588.70
ASKAUTOLTD,/company/ASKAUTOLTD/consolidated/,ASKAUTOLTD,21.78,,,,,,,12200.17,618.85
SKYGOLD,/company/SKYGOLD/consolidated/,SKYGOLD,22.75,,,,,,,12102.62,781.45
AKUMS,/company/AKUMS/consolidated/,AKUMS,15.04,,,,,,,12052.44,765.75
PVRINOX,/company/PVRINOX/consolidated/,PVRINOX,7.61,,,,,,,12051.10,1227.20
BLUEDART,/company/BLUEDART/consolidated/,BLUEDART,11.99,,,,,,,11845.30,4991.70
TITAGARH,/company/TITAGARH/consolidated/,TITAGARH,30.54,,,,,,,11741.53,871.85
VIYASH,/company/VIYASH/consolidated/,VIYASH,15.74,,,,,,,11694.94,265.85
TEGA,/company/TEGA/consolidated/,TEGA,30.94,,,,,,,11629.77,1548.00
QPOWER,/company/QPOWER/consolidated/,QPOWER,45.03,,,,,,,11580.22,1495.30
PCJEWELLER,/company/PCJEWELLER/consolidated/,PCJEWELLER,13.98,,,,,,,11566.03,11.86
VOLTAMP,/company/VOLTAMP/,VOLTAMP,26.36,,,,,,,11551.73,11418.00
RRP,/company/504346/,504346,-1614.56,,,,,,,11409.08,8374.25
PARAS,/company/PARAS/consolidated/,PARAS,77.49,,,,,,,11402.30,1414.90
TECHNOE,/company/TECHNOE/,TECHNOE,17.66,,,,,,,11391.54,979.50
UTIAMC,/company/UTIAMC/consolidated/,UTIAMC,12.70,,,,,,,11318.50,880.55
LLOYDSENT,/company/LLOYDSENT/consolidated/,LLOYDSENT,30.31,,,,,,,11313.45,74.23
WELENT,/company/WELENT/consolidated/,WELENT,15.71,,,,,,,11261.35,813.60
INDIACEM,/company/INDIACEM/consolidated/,INDIACEM,22.65,,,,,,,11233.77,362.50
IRCON,/company/IRCON/consolidated/,IRCON,9.83,,,,,,,11215.65,119.25
SIGNATURE,/company/SIGNATURE/consolidated/,SIGNATURE,136.01,,,,,,,11206.35,796.55
JPPOWER,/company/JPPOWER/consolidated/,JPPOWER,7.23,,,,,,,11164.28,16.29
SBFC,/company/SBFC/,SBFC,14.36,,,,,,,11099.10,100.08
SHREEJISPG,/company/SHREEJISPG/consolidated/,SHREEJISPG,43.48,,,,,,,11080.89,680.15
TEJASNET,/company/TEJASNET/consolidated/,TEJASNET,-24.40,,,,,,,10935.88,614.15
AVANTIFEED,/company/AVANTIFEED/consolidated/,AVANTIFEED,12.08,,,,,,,10880.58,798.60
KEC,/company/KEC/consolidated/,KEC,9.49,,,,,,,10875.60,408.55
JUBLINGREA,/company/JUBLINGREA/consolidated/,JUBLINGREA,17.24,,,,,,,10835.90,680.30
MGL,/company/MGL/,MGL,7.75,,,,,,,10831.97,1096.60
BLUEJET,/company/BLUEJET/,BLUEJET,30.79,,,,,,,10784.93,569.80
AFCONS,/company/AFCONS/consolidated/,AFCONS,9.55,,,,,,,10768.73,292.80
IIFLCAPS,/company/IIFLCAPS/consolidated/,IIFLCAPS,7.07,,,,,,,10753.90,341.20
CANFINHOME,/company/CANFINHOME/,CANFINHOME,12.31,,,,,,,10750.90,807.40
SUVEN,/company/SUVEN/consolidated/,SUVEN,-29.99,,,,,,,10680.87,378.00
BLACKBUCK,/company/BLACKBUCK/consolidated/,BLACKBUCK,42.24,,,,,,,10676.82,586.10
ESDS,/company/ESDS/consolidated/,ESDS,39.17,,,,,,,10647.44,908.40
IEX,/company/IEX/,IEX,15.71,,,,,,,10603.12,118.91
JKTYRE,/company/JKTYRE/consolidated/,JKTYRE,7.85,,,,,,,10590.32,367.35
PGIL,/company/PGIL/consolidated/,PGIL,19.42,,,,,,,10523.59,2278.30
ABLBL,/company/ABLBL/consolidated/,ABLBL,9.14,,,,,,,10505.03,86.07
ZENSARTECH,/company/ZENSARTECH/consolidated/,ZENSARTECH,8.31,,,,,,,10503.99,461.55
HCG,/company/HCG/consolidated/,HCG,22.74,,,,,,,10454.14,700.20
BBTC,/company/BBTC/consolidated/,BBTC,2.92,,,,,,,10443.46,1496.80
JWL,/company/JWL/consolidated/,JWL,27.50,,,,,,,10395.36,243.24
SGMART,/company/SGMART/consolidated/,SGMART,44.41,,,,,,,10394.75,824.75
INDIAMART,/company/INDIAMART/consolidated/,INDIAMART,14.61,,,,,,,10383.11,1726.40
RITES,/company/RITES/consolidated/,RITES,10.82,,,,,,,10371.43,215.80
WHIRLPOOL,/company/WHIRLPOOL/consolidated/,WHIRLPOOL,13.09,,,,,,,10352.11,815.95
AAVAS,/company/AAVAS/,AAVAS,11.84,,,,,,,10341.57,1304.20
ALKYLAMINE,/company/ALKYLAMINE/,ALKYLAMINE,27.05,,,,,,,10336.13,2020.90
KRN,/company/KRN/consolidated/,KRN,68.34,,,,,,,10333.93,1578.70
KENNAMET,/company/KENNAMET/,KENNAMET,32.62,,,,,,,10304.50,4688.50
GENUSPOWER,/company/GENUSPOWER/consolidated/,GENUSPOWER,11.14,,,,,,,10277.32,337.80
RATEGAIN,/company/RATEGAIN/consolidated/,RATEGAIN,21.60,,,,,,,10088.93,851.15
OLECTRA,/company/OLECTRA/consolidated/,OLECTRA,27.89,,,,,,,10087.72,1229.00
KWIL,/company/KWIL/,KWIL,-111.16,,,,,,,9896.48,42.12
SHIPROCKET,/company/SHIPROCKET/consolidated/,SHIPROCKET,-755.33,,,,,,,9889.23,135.92
KIRLPNU,/company/KIRLPNU/,KIRLPNU,24.53,,,,,,,9880.25,760.45
FINPIPE,/company/FINPIPE/consolidated/,FINPIPE,10.75,,,,,,,9842.63,158.63
BLS,/company/BLS/consolidated/,BLS,9.46,,,,,,,9831.96,238.79
STAR,/company/STAR/consolidated/,STAR,10.44,,,,,,,9766.62,1059.60
