nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
VADILALIND,Vadilal Inds.,FMCG - Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Dairy Products,1,1
VAIBHAVGBL,Vaibhav Global,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
VARROC,Varroc Engineer,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
VEDPOWER,Vedanta Power,Power Generation & Supply,,,,1,1
VENKEYS,Venky's (India),FMCG - Animal/Polutry,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Meat Products including Poultry,1,1
VENUSPIPES,Venus Pipes,Steel - Tubes/Pipes,Industrials,Capital Goods,Iron & Steel Products,1,1
VENUSREM,Venus Remedies,Pharmaceuticals - I V Fluids,Healthcare,Healthcare,Pharmaceuticals,1,1
VERANDA,Veranda Learning,Computer Education,Consumer Discretionary,Consumer Services,E-Learning,1,1
VESUVIUS,Vesuvius India,Refractories,Industrials,Capital Goods,Electrodes & Refractories,1,1
VGUARD,V-Guard Industri,Capital Goods - Electric General,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
